2024/10/21	以賽亞書52-56	2024/12/9	但以理書3-5
2024/10/22	以賽亞書57-60	2024/12/10	但以理書6-7
2024/10/23	以賽亞書61-64	2024/12/11	但以理書8-10
2024/10/24	以賽亞書65-66	2024/12/12	但以理書11-12
2024/10/25	耶利米書1-4	2024/12/13	何西阿書1-5
2024/10/26	耶利米書5-7	2024/12/14	何西阿書6-10
2024/10/28	耶利米書8-10	2024/12/16	何西阿書11-14
2024/10/29	耶利米書11-13	2024/12/17	約現書1-3
2024/10/30	耶利米書14-16	2024/12/18	阿摩司書1-4
2024/10/31	耶利米書17-20	2024/12/19	阿摩司書5-9；俄巴底亞書1
2024/11/1	耶利米書21-23	2024/12/20	約拿書1-4
2024/11/2	耶利米書24-26	2024/12/21	彌迦書1-7
2024/11/4	耶利米書27-29	2024/12/23	那鴻書1-3；哈巴谷書1-3
2024/11/5	耶利米書30-31	2024/12/24	西番雅書1-3；哈該書1-2
2024/11/6	耶利米書32-34	2024/12/25	撒迦利亞1-4
2024/11/7	耶利米書35-37	2024/12/26	撒迦利亞5-8
2024/11/8	耶利米書38-41	2024/12/27	撒迦利亞9-14
2024/11/9	耶利米書42-44	2024/12/28	瑪拉基書1-4
2024/11/11	耶利米書45-48
2024/11/12	耶利米書49-50
2024/11/13	耶利米書51-52
2024/11/14	耶利米哀歌1-2
2024/11/15	耶利米哀歌3-5
2024/11/16	以西結書1-3
2024/11/18	以西結書4-6
2024/11/19	以西結書7-8
2024/11/20	以西結書9-11
2024/11/21	以西結書12-14
2024/11/22	以西結書15-17
2024/11/23	以西結書18-20
2024/11/25	以西結書21-22
2024/11/26	以西結書23-24
2024/11/27	以西結書25-27
2024/11/28	以西結書28-30
2024/11/29	以西結書31-33
2024/11/30	以西結書34-36
2024/12/2	以西結書37-38
2024/12/3	以西結書39-40
2024/12/4	以西結書41-43
2024/12/5	以西結書44-46
2024/12/6	以西結書47-48
2024/12/7	但以理書1-2
